date,item,price,category,sign
2021-05-23T06:50:44,payment,497.74,,+
2021-03-04T10:02:05,payment,54.86,,+
2021-10-07T17:12:14,payment,77.19,,+
2021-02-18T17:32:53,payment,234.13,,+
2021-10-25T21:38:43,payment,438.59,,+
2021-03-05T20:44:32,payment,665.1,,+
2021-03-09T02:05:09,payment,251.64,,+
2021-03-29T08:50:07,payment,862.18,,+
2021-07-08T02:59:34,payment,362.67,,+
2021-06-12T13:31:43,payment,993.1,,+
2021-08-31T21:27:37,payment,444.57,,+
2021-02-10T23:01:33,payment,409.82,,+
2021-07-09T20:02:40,payment,333.94,,+
2021-05-04T08:44:40,payment,781.09,,+
2021-01-27T12:33:51,payment,938.37,,+
2020-12-02T02:25:45,payment,727.3,,+
2021-06-18T03:34:48,payment,957.78,,+
2021-09-24T23:17:34,payment,725.01,,+
2021-05-06T04:46:43,payment,101.47,,+
2021-08-19T06:46:17,payment,973.07,,+
2021-07-10T05:44:12,pie,70.13,Food,-
2021-07-06T13:40:31,electricity bill,2.96,Home & Utilities,-
2021-11-06T03:22:11,jetski rental,37.05,Entertainment,-
2021-10-27T09:27:46,pillow,92.09,Home & Utilities,-
2021-07-14T09:39:20,six flags pass,32.9,Entertainment,-
2021-06-18T07:01:05,bus fare,20.31,Transportation,-
2021-03-03T14:08:19,new car,15.5,Transportation,-
2021-08-29T06:37:35,oil change,41.85,Transportation,-
2021-01-31T08:16:09,school supplies,58.71,Personal & Family Care,-
2021-10-25T12:43:01,school supplies,49.03,Personal & Family Care,-
2021-03-16T13:42:50,movie tickets,64.53,Entertainment,-
2021-09-29T21:12:26,shampoo,59.67,Personal & Family Care,-
2020-12-05T13:54:47,band aids,18.26,Personal & Family Care,-
2021-03-19T22:30:45,apples,97.65,Food,-
2021-05-01T22:14:27,elephant,58.77,Others,-
2021-09-21T17:01:01,new gaming pc,76.26,Entertainment,-
2020-12-02T20:07:45,six flags pass,74.14,Entertainment,-
2020-12-22T17:09:32,diapers,42.5,Personal & Family Care,-
2021-09-06T05:24:22,school supplies,95.74,Personal & Family Care,-
2021-02-16T07:33:28,razors,19.39,Personal & Family Care,-
2021-08-09T06:21:06,apples,20.42,Food,-
2021-05-06T20:21:25,bus fare,9.44,Transportation,-
2021-09-30T11:37:41,groceries,91.49,Food,-
2021-07-01T12:36:31,the fast food chain wendys,48.75,Others,-
2021-10-08T01:42:38,flying monkey,6.97,Others,-
2021-03-27T02:39:55,six flags pass,40.79,Entertainment,-
2021-03-05T02:27:05,gas bill,60.25,Home & Utilities,-
2021-04-19T18:31:31,dinner,30.76,Food,-
2021-11-03T23:23:49,ninja stars,60.16,Others,-
2021-05-17T13:38:09,sky diving,83.54,Entertainment,-
2020-12-29T23:09:59,oranges,52.96,Food,-
2021-02-16T18:54:18,water bill,42.86,Home & Utilities,-
2021-10-10T21:44:18,oranges,91.89,Food,-
2021-03-06T17:13:25,wiper fluid,22.2,Transportation,-
2021-02-02T05:05:57,roller skates,96.0,Transportation,-
2021-04-04T02:26:36,hair brush,57.08,Personal & Family Care,-
2021-07-08T01:15:14,a crane,56.69,Others,-
2021-05-09T10:29:03,make up,78.37,Personal & Family Care,-
2021-01-22T00:26:18,circus tickets,34.8,Entertainment,-
2021-05-23T23:22:08,water bill,56.14,Home & Utilities,-
2021-03-22T20:00:20,paper towels,9.48,Home & Utilities,-
2021-06-07T18:41:26,paper towels,51.52,Home & Utilities,-
2021-07-20T13:11:57,oil change,30.04,Transportation,-
2021-11-05T23:29:15,conditioner,67.97,Personal & Family Care,-
2021-07-07T10:49:25,sponges,33.58,Home & Utilities,-
2021-06-19T19:38:49,dinner,59.72,Food,-
2021-08-26T12:17:32,flying monkey,4.66,Others,-
2021-09-21T15:02:09,oranges,94.33,Food,-
2021-03-29T17:14:00,soap,74.97,Home & Utilities,-
2020-12-17T05:32:51,gas bill,87.65,Home & Utilities,-
2021-05-15T22:32:05,sky diving,37.32,Entertainment,-
2020-12-11T09:16:05,water bill,95.38,Home & Utilities,-
2021-10-25T18:36:11,roller skates,23.44,Transportation,-
2021-09-06T23:55:24,flying monkey,66.25,Others,-
2021-03-21T02:36:08,groceries,17.69,Food,-
2021-11-06T20:01:12,new car,54.0,Transportation,-
2021-07-22T14:14:13,circus tickets,65.97,Entertainment,-
2020-12-24T12:54:17,toilet paper,33.27,Home & Utilities,-
2021-03-14T11:51:14,band aids,26.66,Personal & Family Care,-
2021-06-28T18:16:58,oil change,2.23,Transportation,-
2021-10-03T03:59:43,bike repairs,16.61,Transportation,-
2020-12-22T13:28:57,bike repairs,26.25,Transportation,-
2021-09-10T14:21:21,car,89.25,Transportation,-
2021-04-24T01:02:20,sky diving,21.65,Entertainment,-
2021-10-13T03:38:58,pillow,57.72,Home & Utilities,-
2021-10-05T08:15:13,apples,49.38,Food,-
2021-01-04T10:33:51,oranges,48.46,Food,-
2021-06-01T19:01:02,circus tickets,15.43,Entertainment,-
2021-04-30T22:21:23,roller skates,8.35,Transportation,-
2021-09-08T09:00:37,car,72.81,Transportation,-
2021-01-22T11:53:39,new car,90.74,Transportation,-
2021-05-03T17:51:35,jetski rental,77.53,Entertainment,-
2021-10-08T05:34:54,world hunger,92.45,Others,-
2021-07-30T23:38:24,space ship,94.97,Others,-
2021-03-16T01:30:50,paper towels,38.6,Home & Utilities,-
2021-03-25T19:55:38,jetski rental,32.55,Entertainment,-
2021-07-05T19:49:09,bus fare,71.15,Transportation,-
2020-12-17T11:08:29,lunch,29.91,Food,-
2021-09-11T19:44:22,oranges,70.81,Food,-
2021-02-22T07:02:14,six flags pass,26.62,Entertainment,-
